article,label
https://en.wikipedia.org/wiki/Svoboda_(political_party),All-Ukrainian Union Svoboda
https://en.wikipedia.org/wiki/Green_Alliance_(Russia),Green Alliance–The People's Party
https://en.wikipedia.org/wiki/Party_of_Regions,Party of Regions
https://en.wikipedia.org/wiki/Progressive_Republican_Party_(Spain),Progressive Republican Party
https://en.wikipedia.org/wiki/Social_Democratic_Party_of_Lithuania,Social Democratic Party of Lithuania
https://en.wikipedia.org/wiki/Union_for_a_Popular_Movement,Union for a Popular Movement
https://en.wikipedia.org/wiki/Proposta_per_les_Illes,Proposta per les Illes
https://en.wikipedia.org/wiki/Republican_Sinn_F%C3%A9in,Republican Sinn Féin
https://en.wikipedia.org/wiki/United_Civic_Party,United Civic Party of Belarus
https://en.wikipedia.org/wiki/Social_Democratic_and_Labour_Party,Social Democratic and Labour Party
https://en.wikipedia.org/wiki/New_Democratic_Force_(Montenegro),New Democratic Power – FORCA
https://en.wikipedia.org/wiki/Pirate_Party_(France),Pirate Party
https://en.wikipedia.org/wiki/Justice_First,Justice First
https://en.wikipedia.org/wiki/Liberal_Democrats_(UK),Liberal Democrats
https://en.wikipedia.org/wiki/Regional_Party_of_Lithuania_and_White_Ruthenia,Regional Party of Lithuania and White Ruthenia
https://en.wikipedia.org/wiki/Liberal_Regenerator_Party,Liberal Regenerator Party
https://en.wikipedia.org/wiki/Sinn_F%C3%A9in,Sinn Féin
https://en.wikipedia.org/wiki/Communist_Party_of_the_Soviet_Union,Communist Party of the Soviet Union
https://en.wikipedia.org/wiki/Liberation_Tigers_of_Tamil_Eelam,Liberation Tigers of Tamil Eelam
https://en.wikipedia.org/wiki/Liberal_Party_of_Australia,Liberal Party of Australia
https://en.wikipedia.org/wiki/Golden_Dawn_(Greece),Golden Dawn
https://en.wikipedia.org/wiki/National_Liberation_Party_(Costa_Rica),National Liberation Party
https://en.wikipedia.org/wiki/Organisation_of_Internationalist_Communists_of_Greece,Organisation of Internationalist Communists of Greece
https://en.wikipedia.org/wiki/Union_of_Democrats_and_Independents,Union of Democrats and Independents
https://en.wikipedia.org/wiki/Meretz,Meretz
https://en.wikipedia.org/wiki/Polisario_Front,Polisario Front
https://en.wikipedia.org/wiki/Bharatiya_Janata_Party,Bharatiya Janata Party
https://en.wikipedia.org/wiki/UK_Independence_Party,UK Independence Party
https://en.wikipedia.org/wiki/Harzburg_Front,Harzburg Front
https://en.wikipedia.org/wiki/German_People%27s_Party,German People's Party
https://en.wikipedia.org/wiki/Communist_Party_of_Chile,Communist Party of Chile
https://en.wikipedia.org/wiki/Armenian_Revolutionary_Federation,Armenian Revolutionary Federation
https://en.wikipedia.org/wiki/National_Bolshevik_Party,National Bolshevik Party
https://en.wikipedia.org/wiki/National_Socialist_Movement_in_the_Netherlands,National Socialist Movement in the Netherlands
https://en.wikipedia.org/wiki/German_Democratic_Party,German Democratic Party
https://en.wikipedia.org/wiki/Yabloko,Yabloko
https://en.wikipedia.org/wiki/Bavarian_People%27s_Party,Bavarian People's Party
https://en.wikipedia.org/wiki/National_Front_for_the_Salvation_of_Libya,National Front for the Salvation of Libya
https://en.wikipedia.org/wiki/Communist_Party_of_Nepal_(Marxist)_(1986%E2%80%931991),Communist Party of Nepal (Marxist)
https://en.wikipedia.org/wiki/FareItalia,FareItalia
https://en.wikipedia.org/wiki/National_Renaissance_Front,National Renaissance Front
https://en.wikipedia.org/wiki/Plaid_Cymru,Plaid Cymru
https://en.wikipedia.org/wiki/Debout_la_France,France Arise
https://en.wikipedia.org/wiki/Independent_Movement_of_Absolute_Renovation,Independent Movement of Absolute Renovation
https://en.wikipedia.org/wiki/%C3%89toile_Nord-Africaine,Étoile Nord-Africaine
https://en.wikipedia.org/wiki/Al-Wasat_Party,Al-Wasat Party
https://en.wikipedia.org/wiki/Public_Against_Violence,Public Against Violence
https://en.wikipedia.org/wiki/Alliance_for_the_Restoration_of_Peace_and_Counter-Terrorism,Alliance for the Restoration of Peace and Counter-Terrorism
https://en.wikipedia.org/wiki/Nacionalista_Party,Nacionalista Party
https://en.wikipedia.org/wiki/Popular_Front_(Senegal),Popular Front
https://en.wikipedia.org/wiki/Likud,Likud
https://en.wikipedia.org/wiki/Organization_of_Iranian_People%27s_Fedai_Guerrillas,Organization of Iranian People's Fedai Guerrillas
https://en.wikipedia.org/wiki/Social_Democratic_Party_of_Austria,Social Democratic Party of Austria
https://en.wikipedia.org/wiki/Republican_Federation,Republican Federation
https://en.wikipedia.org/wiki/Ba%27ath_Party,Baath Party
https://en.wikipedia.org/wiki/New_Zealand_First,New Zealand First
https://en.wikipedia.org/wiki/Czech_Social_Democratic_Party,Czech Social Democratic Party
https://en.wikipedia.org/wiki/Communist_Workers_Party_of_Turkey,Communist Workers Party of Turkey
https://en.wikipedia.org/wiki/Alliance_Party_of_Northern_Ireland,Alliance Party of Northern Ireland
https://en.wikipedia.org/wiki/Fine_Gael,Fine Gael
https://en.wikipedia.org/wiki/Progressive_Conservative_Party_of_Prince_Edward_Island,Progressive Conservative Party of Prince Edward Island
https://en.wikipedia.org/wiki/Democratic_Forces_for_the_Liberation_of_Rwanda,Democratic Forces for the Liberation of Rwanda
https://en.wikipedia.org/wiki/Hadash,Hadash
https://en.wikipedia.org/wiki/Czech_Pirate_Party,Czech Pirate Party
https://en.wikipedia.org/wiki/Czech_National_Social_Party,Czech National Social Party
https://en.wikipedia.org/wiki/Conservative_Party_(UK),Conservative Party
https://en.wikipedia.org/wiki/Liberals_(Sweden),Liberals
https://en.wikipedia.org/wiki/Left_Party_(Sweden),Left Party
https://en.wikipedia.org/wiki/Moderate_Party,Moderate Party
https://en.wikipedia.org/wiki/Kach_(political_party),Kach and Kahane Chai
https://en.wikipedia.org/wiki/Party_for_Freedom,Party for Freedom
https://en.wikipedia.org/wiki/Non-Party_List,Non-Party List
https://en.wikipedia.org/wiki/Serbian_Radical_Party,Serbian Radical Party
https://en.wikipedia.org/wiki/Christian_Social_People%27s_Service,Christian Social People's Service
https://en.wikipedia.org/wiki/German_Forum_Party,German Forum Party
https://en.wikipedia.org/wiki/Christian-National_Peasants%27_and_Farmers%27_Party,Christian-National Peasants' and Farmers' Party
https://en.wikipedia.org/wiki/Initiative_for_Peace_and_Human_Rights,Initiative for Peace and Human Rights
https://en.wikipedia.org/wiki/Labour_Party_(UK),Labour Party
https://en.wikipedia.org/wiki/Scottish_National_Party,Scottish National Party
https://en.wikipedia.org/wiki/International_Communist_Party,International Communist Party
https://en.wikipedia.org/wiki/Equal_Rights_(Latvia),Equal Rights
https://en.wikipedia.org/wiki/New_Heritage_Party,Heritage Party
https://en.wikipedia.org/wiki/Free_Democrats_(Georgia),Free Democrats
https://en.wikipedia.org/wiki/Liberal_Democratic_Congress,Liberal Democratic Congress
https://en.wikipedia.org/wiki/Pakistan_Peoples_Party,Pakistan Peoples Party
https://en.wikipedia.org/wiki/Al-Itihaad_al-Islamiya,al-Itihaad al-Islamiya
https://en.wikipedia.org/wiki/Independent_Social_Democratic_Party_of_Germany,Independent Social Democratic Party of Germany
https://en.wikipedia.org/wiki/Rexist_Party,Rex
https://en.wikipedia.org/wiki/Green_Party_of_England_and_Wales,Green Party of England and Wales
https://en.wikipedia.org/wiki/Party_of_the_Cardenist_Front_of_National_Reconstruction,Party of the Cardenist Front of National Reconstruction
https://en.wikipedia.org/wiki/Montana_Libertarian_Party,Libertarian Party of Montana
https://en.wikipedia.org/wiki/Telangana_Rashtra_Party,Telangana Rashtra Party
https://en.wikipedia.org/wiki/National_Democrats_(Norway),National Democrats
https://en.wikipedia.org/wiki/Arab_Socialist_Movement,Arab Socialist Movement
https://en.wikipedia.org/wiki/Austrian_People%27s_Party,Austrian People's Party
https://en.wikipedia.org/wiki/National_Union_Party_(United_States),National Union Party
https://en.wikipedia.org/wiki/Order_and_Justice,Order and Justice
https://en.wikipedia.org/wiki/Homeland_Union,Homeland Union – Lithuanian Christian Democrats
https://en.wikipedia.org/wiki/National_Democratic_Alliance_(Sudan),National Democratic Alliance
https://en.wikipedia.org/wiki/Azores_Liberation_Front,Azores Liberation Front
https://en.wikipedia.org/wiki/League_of_Social_Democrats_of_Vojvodina,League of Social Democrats of Vojvodina
https://en.wikipedia.org/wiki/Christian_Solidarity_Party,Christian Solidarity Party
https://en.wikipedia.org/wiki/Address_Party,Address Party
https://en.wikipedia.org/wiki/Council_of_Nationalist-Religious_Activists_of_Iran,Nationalist-Religious movement
https://en.wikipedia.org/wiki/Decolonization_and_Social_Emancipation_Movement,Decolonization and Social Emancipation Movement
https://en.wikipedia.org/wiki/Democratic_Alliance_of_Hungarians_in_Romania,Democratic Union of Hungarians in Romania
https://en.wikipedia.org/wiki/Progress_and_Left_Forces_Alliance,Progress and Left Forces Alliance
https://en.wikipedia.org/wiki/Devrimci_Kararg%C3%A2h,Devrimci Karargâh
https://en.wikipedia.org/wiki/Labour_Party_(Italy),Labour Party
https://en.wikipedia.org/wiki/Popular_National_Union,Popular National Union
https://en.wikipedia.org/wiki/Right_Wing_of_the_Republic,Right Wing of the Republic
https://en.wikipedia.org/wiki/Labour_Party_(Netherlands),Labour Party
https://en.wikipedia.org/wiki/African_National_Congress,African National Congress
https://en.wikipedia.org/wiki/Internet_Party_(Spain),Internet Party
https://en.wikipedia.org/wiki/African_Christian_Democratic_Party,African Christian Democratic Party
https://en.wikipedia.org/wiki/Rhinoceros_Party_of_Canada_(1963%E2%80%9393),Rhinoceros Party of Canada
https://en.wikipedia.org/wiki/%C3%85land_Social_Democrats,Åland Social Democrats
https://en.wikipedia.org/wiki/Christian_Democratic_Appeal,Christian Democratic Appeal
https://en.wikipedia.org/wiki/Republican_People%27s_Party,Republican People's Party
https://en.wikipedia.org/wiki/United_Progressive_Kinabalu_Organisation,United Progressive People of Kinabalu Organisation
https://en.wikipedia.org/wiki/Democratic_Action_Party_(Spain),Democratic Action Party
https://en.wikipedia.org/wiki/Party_of_Civic_Rights,Party of Civic Rights
https://en.wikipedia.org/wiki/Moslem_League_of_the_Western_Province,Moslem League of the Western Province
https://en.wikipedia.org/wiki/National_Socialist_Front,National Socialist Front
https://en.wikipedia.org/wiki/Alliance_for_Italy,Alliance for Italy
https://en.wikipedia.org/wiki/Movement_of_Democratic_Forces_of_Casamance,Movement of Democratic Forces of Casamance
https://en.wikipedia.org/wiki/Fatah,Fatah
https://en.wikipedia.org/wiki/Democrats_for_Andorra,Democrats for Andorra
https://en.wikipedia.org/wiki/Lauredian_Union,Lauredian Union
https://en.wikipedia.org/wiki/Social_Democratic_Party_(Andorra),Social Democratic Party
https://en.wikipedia.org/wiki/Hong_Kong_Federation_of_Trade_Unions,Hong Kong Federation of Trade Unions
https://en.wikipedia.org/wiki/Respublika%E2%80%93Ata_Zhurt,Respublika–Ata Zhurt
https://en.wikipedia.org/wiki/Social_Democratic_Party_of_Kyrgyzstan,Social Democratic Party of Kyrgyzstan
https://en.wikipedia.org/wiki/Ata-Zhurt,Ata-Zhurt
https://en.wikipedia.org/wiki/People%27s_National_Congress_(Papua_New_Guinea),People's National Congress Party
https://en.wikipedia.org/wiki/Hungarian_Socialist_Workers%27_Party,Hungarian Socialist Workers' Party
https://en.wikipedia.org/wiki/Croatian_Democratic_Union_of_Bosnia_and_Herzegovina,Croatian Democratic Union of Bosnia and Herzegovina
https://en.wikipedia.org/wiki/Justice_and_Development_Party_(Turkey),Justice and Development Party
https://en.wikipedia.org/wiki/Zealots,Zealotry
https://en.wikipedia.org/wiki/National_Liberation_Front_(Greece),National Liberation Front
https://en.wikipedia.org/wiki/Communist_Party_of_Greece,Communist Party of Greece
https://en.wikipedia.org/wiki/Freedom_and_Reform_Party,Freedom and Reform Party
https://en.wikipedia.org/wiki/Left_Party_(Turkey),Left Party
